id,question,score,labels,matched_labels
SEF-04.1,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-08.2,"Is the confidentiality, integrity, and availability of backup data ensured?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-03.1,"Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business- critical relationships (such as supply-chain established, documented, approved, communicated, applied, evaluated, and maintained?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-05.1,Are information security incident metrics established and monitored?,,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
LOG-02.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure audit log security and retention?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?,,"disaster response, plan maintenance, annual review, exercise testing",
LOG-01.1,"Are logging and monitoring policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
IAM-08.1,Are reviews and revalidation of user access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance?,,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, disaster response, plan maintenance, annual review, exercise testing",
