id,question,score,labels,matched_labels
SEF-04.1,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-03.1,"Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business- critical relationships (such as supply-chain established, documented, approved, communicated, applied, evaluated, and maintained?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-05.1,Are information security incident metrics established and monitored?,,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-10.1,Is the disaster response plan exercised annually or when significant changes occur?,,"disaster response, plan maintenance, annual review, exercise testing",
LOG-01.1,"Are logging and monitoring policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
BCR-09.2,"Is the disaster response plan updated at least annually, and when significant changes occur?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, disaster response, plan maintenance, annual review, exercise testing",
LOG-13.1,"Are processes and technical measures for reporting monitoring system anomalies and failures defined, implemented, and evaluated?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
STA-09.1,"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms? • Scope, characteristics, and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third- party assessment • Service termination • Interoperability and portability requirements • Data privacy",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",,"incident management, policies and procedures",
LOG-10.1,"Are monitoring and internal reporting capabilities established to report on cryptographic operations, encryption, and key management policies, processes, procedures, and controls?",,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
