id,question,score,labels,matched_labels
SEF-05.1,Are information security incident metrics established and monitored?,0.6024,"Incident metrics, Security incident monitoring, Metrics establishment",
SEF-03.1,"Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business- critical relationships (such as supply-chain established, documented, approved, communicated, applied, evaluated, and maintained?",0.5379,"Incident response plan, Internal departments, Impacted CSCs, Business-critical relationships, Supply chain, Documentation, Approval, Communication, Plan implementation, Plan evaluation, Plan maintenance",
LOG-03.1,Are security-related events identified and monitored within applications and the underlying infrastructure?,0.5266,"Security events, Event identification, Event monitoring, Application logging, Infrastructure monitoring",
LOG-03.2,Is a system defined and implemented to generate alerts to responsible stakeholders based on security events and their corresponding metrics?,0.5113,"Alert generation, Responsible stakeholders, Security events, Event metrics, Alerting system, System implementation",
SEF-04.1,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?",0.5103,"Incident response plan, Plan testing, Plan updates, Effectiveness review, Planned intervals, Organizational changes, Environmental changes",
SEF-02.1,"Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?",0.4860,"Security incident management, Policies and procedures, Documentation, Approval, Communication, Implementation, Evaluation, Maintenance, Timeliness",
SEF-06.1,"Are processes, procedures, and technical measures supporting business processes to triage security-related events defined, implemented, and evaluated?",0.4771,"Business processes, Event triage, Security events, Processes, Procedures, Technical measures, Implementation, Evaluation, Definition",
SEF-02.2,Are policies and procedures for timely management of security incidents reviewed and updated at least annually?,0.4696,"Security incident management, Policies and procedures, Annual review, Policy updates, Timely management",
TVM-03.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?",0.4646,"Vulnerability response, Response processes, Response procedures, Technical measures, Scheduled response, Emergency response, Vulnerability identification, Risk-based response, Process evaluation",
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",0.4646,"Security incident management, E-discovery, Cloud forensics, Policies and procedures, Documentation, Approval, Communication, Implementation, Evaluation, Maintenance",
