id,question,score,labels,matched_labels
HRS-04.1,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?",0.3367,"information protection policies, remote site security, policy lifecycle management","information protection policies, remote site security, policy lifecycle management"
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",0.3322,"incident management, policies and procedures","incident management, policies and procedures"
SEF-02.1,"Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?",0.3208,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, incident management","monitoring and reporting, incident management, periodic review, risk management, policies and procedures, compliance requirements, documentation"
HRS-04.2,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually?",0.3181,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, information protection policies, remote site security, policy lifecycle management","monitoring and reporting, information protection policies, remote site security, periodic review, policy lifecycle management, risk management, policies and procedures, compliance requirements, documentation"
BCR-03.1,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?",0.3169,"business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment","business continuity, operational resilience, disruption recovery strategies, risk appetite alignment, risk impact assessment"
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",0.3168,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, plan management","monitoring and reporting, business continuity, periodic review, operational resilience, risk management, plan management, policies and procedures, compliance requirements, documentation"
BCR-02.1,Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?,0.3124,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, business continuity, operational resilience, risk impact assessment, disruption recovery strategies, risk appetite alignment","monitoring and reporting, business continuity, periodic review, operational resilience, disruption recovery strategies, risk management, policies and procedures, risk appetite alignment, risk impact assessment, compliance requirements, documentation"
A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?",0.3087,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting","monitoring and reporting, periodic review, risk management, policies and procedures, compliance requirements, documentation"
A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?",0.3087,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting","monitoring and reporting, periodic review, risk management, policies and procedures, compliance requirements, documentation"
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,0.3087,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting","monitoring and reporting, periodic review, risk management, policies and procedures, compliance requirements, documentation"
