id,question,score,labels,matched_labels
A&A-01.1,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-01.2,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-03.1,Are independent audit and assurance assessments performed according to risk-based plans and policies?,0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-04.1,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-05.1,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-06.1,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
A&A-06.2,Is the remediation status of audit findings reviewed and reported to relevant stakeholders?,0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
AIS-01.1,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?",0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
AIS-01.2,Are application security policies and procedures reviewed and updated at least annually?,0.5874,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",monitoring and reporting
